MIPS Instructions	Implemented
add					Y
addiu				Y
addu				Y
and					Y
andi				Y
beq					Y
beqz				Y
bgez				Y
bgtz				Y
blez				Y
bltz				Y
bne					Y
bnez				Y
div					N				
j					Y
jal					Y
jalr				N
jr					N
lb					Y
lbu					Y
lh					Y
lhu					Y	
li					Y
lui					Y
lw					Y	
mfhi				Y		
mflo				Y
move				Y
mul					Y
multu				Y
nop					Y
nor					Y	
or					Y
ori					Y
sb					Y
sh					Y
sll					Y
slt					Y
slti				Y
sltiu				Y
sltu				Y
sra					Y
srl					Y
sub					Y
subu				Y
sw					Y
xor					Y
xori				Y
